document,title,category
 volume of vortex moduli spaces  a gas of n bogomol nyi vortices in the abelian higgs model is studied on a compact riemann surface of genus g and area a  the volume of the moduli space is computed and found to depend on n g and a  but not on other details of the shape of the surface the volume is then used to find the thermodynamic partition function and it is shown that the thermodynamical properties of such a gas do not depend on the genus of the riemann surface , volume of vortex moduli spaces ,"Mathematical Physics, Algebraic"
 the geometrodynamics of sine gordon solitons  the relationship between n soliton solutions to the euclidean sine gordon equation and lorentzian black holes in jackiw teitelboim dilaton gravity is investigated with emphasis on the important role played by the dilaton in determining the black hole geometry we show how an n soliton solution can be used to construct  sine gordon  coordinates for a black hole of mass m and construct the transformation to more standard  schwarzchild like  coordinates for n 1 and 2 we find explicit closed form solutions to the dilaton equations of motion in soliton coordinates and find the relationship between the soliton parameters and the black hole mass remarkably the black hole mass is non negative for arbitrary soliton parameters in the one soliton case the coordinates are shown to cover smoothly a region containing the whole interior of the black hole as well as a finite neighbourhood outside the horizon a hamiltonian analysis is performed for slicings that approach the soliton coordinates on the interior and it is shown that there is no boundary contribution from the interior finally we speculate on the sine gordon solitonic origin of black hole statistical mechanics , the geometrodynamics of sine gordon solitons ,"Mathematical Physics, Exactly"
 exact renormalization group flow equations for free energies and n point functions in uniform external fields we project the wilson polchinski renormalization group equation onto its uniform external field dependent effective free energy and connected green s functions the result is a hierarchy of equations which admits a choice of  natural  truncation and closure schemes for nonperturbative approximate solution in this way approximation schemes can be generated which avoid power series expansions in either fields or momenta when following one closure scheme the lowest order equation is the mean field approximation while another closure scheme gives the  local potential approximation  extension of these closure schemes to higher orders leads to interesting new questions regarding truncation schemes and the convergence of nonperturbative approximations one scheme based on a novel  momentum cluster decomposition  of the connected green s functions seems to offer new possibilities for accurate nonperturbative successive approximation , exact renormalization group flow equations for free energies and n point functions in uniform external fields,Statistical Mechanics
 the n 4 quantum conformal algebra we determine the spectrum of currents generated by the operator product expansion of the energy momentum tensor in n 4 super symmetric yang mills theory up to the regular terms and in addition to the multiplet of the stress tensor three current multiplets appear sigma xi and upsilon starting with spin 0 2 and 4 respectively the ope s of these new currents generate an infinite tower of current multiplets one for each even spin which exhibit a universal structure of length 4 in spin units identified by a two parameter rational family using higher spin techniques developed recently for conformal field theories we compute the critical exponents of sigma xi and upsilon in the tt ope and prove that the essential structure of the algebra holds at arbitrary coupling we argue that the algebra closes in the strongly coupled large n c limit our results determine the quantum conformal algebra of the theory and answer several questions that previously remained open , the n 4 quantum conformal algebra,Mathematical Physics
 integrability of supersymmetric quantum matrix models in the large n limit any physical systems like supersymmetric yang mills theories are formulated as quantum matrix models we discuss how to apply the beth ansatz to exactly solve some supersymmetric quantum matrix models in the large n limit toy models are constructed out of the one dimensional hubbard and t j models as illustrations, integrability of supersymmetric quantum matrix models in the large n limit,Strongly Correlated Electrons;
 a noncommutative geometric interpretation of the resolution of equivariant instanton moduli spaces we generalize the recently proposed noncommutative adhm construction to the case of  gamma equivariant instantons over  r 4  with  gamma a kleinian group we show that a certain form of the inhomogeneous adhm equations describes instantons over a noncommutative deformation of the kleinian orbifold  c 2 gamma and we discuss the relation of this with nakajima s description of instantons over ale spaces in particular we obtain a noncommutative interpretation of the minimal resolution of kleinian singularities , a noncommutative geometric interpretation of the resolution of equivariant instanton moduli spaces,Mathematical Physics
 on the equivalence of the rational calogero moser system to free particles  the canonical transformation and its unitary counterpart which relate the rational calogero moser system to the free one are constructed, on the equivalence of the rational calogero moser system to free particles ,"Mathematical Physics, Exactly"
 d branes on nonabelian threefold quotient singularities we investigate the classical moduli space of d branes on a nonabelian calabi yau threefold singularity and find that it admits topology changing transitions we construct a general formalism of worldvolume field theories in the language of quivers and give a procedure for computing the enlarged kahler cone of the moduli space the topology changing transitions achieved by varying the fayet iliopoulos parameters correspond to changes of linearization of a geometric invariant theory quotient and can be studied by methods of algebraic geometry quite surprisingly the structure of the enlarged kahler cone can be computed by toric methods by using this approach we give a detailed discussion of two low rank examples , d branes on nonabelian threefold quotient singularities,Mathematical Physics
 the mathematics of fivebranes fivebranes are non perturbative objects in string theory that generalize two dimensional conformal field theory and relate such diverse subjects as moduli spaces of vector bundles on surfaces automorphic forms elliptic genera the geometry of calabi yau threefolds and generalized kac moody algebras , the mathematics of fivebranes,Algebraic Geometry
 summing up instantons in three dimensional yang mills theories we show that the four derivative terms in the effective action of three dimensional n 8 yang mills theory are determined by supersymmetry these terms receive both perturbative and non perturbative corrections using our technique for constraining the effective action we are able to determine the exact form of the eight fermion terms in the supersymmetric completion of the  f 4 term including all instanton corrections as a consequence we argue that the integral of the euler density over k monopole moduli space in su 2  yang mills is determined by our non renormalization theorem for all values of  k , summing up instantons in three dimensional yang mills theories,Differential Geometry
 entropic c theorems in free and interacting two dimensional field theories the relative entropy in two dimensional field theory is studied on a cylinder geometry interpreted as finite temperature field theory the width of the cylinder provides an infrared scale that allows us to define a dimensionless relative entropy analogous to zamolodchikov s c function the one dimensional quantum thermodynamic entropy gives rise to another monotonic dimensionless quantity i illustrate these monotonicity theorems with examples ranging from free field theories to interacting models soluble with the thermodynamic bethe ansatz both dimensionless entropies are explicitly shown to be monotonic in the examples that we analyze , entropic c theorems in free and interacting two dimensional field theories,Statistical Mechanics
 chern simons field theory and invariants of 3 manifolds the chern simons cs theory in three dimensions with a compact gauge group g is studied starting from the brst quantization of the theory defined in r 3  the values of gauge invariants observables are computed in any closed and orientable three manifold m by constructing a surgery operator associated with a dehn s surgery presentation of m we have given the general rules to find the reduced tensor algebra whose elements give the physical inequivalent quantum numbers that characterize uniquely the cs observables some general properties of the reduced tensor algebra and of the surgery operator are studied many examples of the general construction are given in the case of g su 2 and g su 3  in particular the expectation value of a wilson line associated with the unknot and the hopf link in r 3 s 3 is computed for any irreducible representation of the gauge group the relation of the topological invariant i m  defined as a suitable modified partition function of the cs theory in m  and the fundamental group of m is studied finally the relationship between cs theory and wzwn model in two dimensions is exploited to derive from a full three dimensional point of view some classical results in conformal field theory , chern simons field theory and invariants of 3 manifolds,Quantum Algebra
 integrable hierarchies and contact terms in u plane integrals of topologically twisted supersymmetric gauge theories the u plane integrals of topologically twisted n  2 supersymmetric gauge theories generally contain contact terms of nonlocal topological observables  this paper proposes an interpretation of these contact terms from the point of view of integrable hierarchies and their whitham deformations this is inspired by mari no and moore s remark that the blowup formula of the u plane integral contains a piece that can be interpreted as a single time tau function of an integrable hierarchy this single time tau function can be extended to a multi time version without spoiling the modular invariance of the blowup formula the multi time tau function is comprised of a gaussian factor  e q t 1 t 2    and a theta function the time variables t n play the role of physical coupling constants of 2 observables i n b  carried by the exceptional divisor b  the coefficients q mn  of the gaussian part are identified to be the contact terms of these 2 observables this identification is further examined in the language of whitham equations all relevant quantities are written in the form of derivatives of the prepotential , integrable hierarchies and contact terms in u plane integrals of topologically twisted supersymmetric gauge theories,Algebraic Geometry
 parity and charge conjugation symmetries and s matrix of the xxz chain we formulate the notion of parity for the periodic xxz spin chain within the quantum inverse scattering method we also propose an expression for the eigenvalues of the charge conjugation operator we use these discrete symmetries to help classify low lying s z 0 states in the critical regime and we give a direct computation of the s matrix , parity and charge conjugation symmetries and s matrix of the xxz chain,Exactly Solvable and Integrable
 aspects of the hypermultiplet moduli space in string duality  type iia string or f theory compactified on a calabi yau threefold is believed to be dual to a heterotic string on a k3 surface times a 2 torus or on a k3 surface  we consider how the resulting moduli space of hypermultiplets is identified between these two pictures in the case of the e8xe8 heterotic string as examples we discuss su 2 bundles and g2 bundles on the k3 surface and the case of point like instantons we are lead to a rather beautiful identification between the integral cohomology of the calabi yau threefold and some integral structures on the heterotic side somewhat reminiscent of mirror symmetry we discuss the consequences for probing nonperturbative effects in the both the type iia string and the heterotic string, aspects of the hypermultiplet moduli space in string duality,Algebraic Geometry
 current trends in axiomatic quantum field theory in this article a non technical survey is given of the present status of axiomatic quantum field theory and interesting future directions of this approach are outlined the topics covered are the universal structure of the local algebras of observables their relation to the underlying fields and the significance of their relative positions moreover the physical interpretation of the theory is discussed with emphasis on problems appearing in gauge theories such as the revision of the particle concept the determination of symmetries and statistics from the superselection structure the analysis of the short distance properties and the specific features of relativistic thermal states some problems appearing in quantum field theory on curved spacetimes are also briefly mentioned   talk given at ringberg symposium on quantum field theory ringberg castle  june 1998 , current trends in axiomatic quantum field theory,Mathematical Physics
 algebraic approach in unifying quantum integrable models a novel algebra underlying integrable systems is shown to generate and unify a large class of quantum integrable models with given r matrix through reductions of an ancestor lax operator and its different realizations along with known discrete and field models a new class of inhomogeneous and impurity models are obtained , algebraic approach in unifying quantum integrable models,Exactly Solvable and Integrable
 coherent state path integral approach for constrained fermion systems he coherent state path integral representation for the propagator of fermionic systems subjected to first class constraints is constructed as in the bosonic case the importance of path integral measures for lagrange multipliers is emphasized one example is discussed in some detail, coherent state path integral approach for constrained fermion systems,Mathematical Physics
 galileo invariant system and the motion of relativistic d branes we follow recent work and study the relativistic d brane system in d 1 1  dimensions and its connection with a galileo invariant system in d 1  dimensions in particular we solve d brane systems in 2 1  3 1 and 4 1  dimensions and show that their solutions solve the corresponding galileo invariant systems in 1 1  2 1  and 3 1 dimensions the results are extended to higher dimensions , galileo invariant system and the motion of relativistic d branes,Fluid Dynamics
 trapped states and bound states of a soliton in a well the nature of the interaction of a soliton with an attractive well is elucidated using a model of two interacting point particles the model explains the existence of trapped states at positive kinetic energy as well as reflection by an attractive impurity the transition from a trapped soliton state to a bound state is studied bound states of the soliton in a well are also found , trapped states and bound states of a soliton in a well,Exactly Solvable and Integrable
 resolutions and characters of irreducible representations of the n 2 superconformal algebra  we evaluate characters of irreducible representations of the n 2 supersymmetric extension of the virasoro algebra we do so by deriving the bgg resolution of the admissible n 2 representations and also a new 3 5 7  resolution in terms of twisted massive verma modules we analyse how the characters behave under the automorphisms of the algebra whose most significant part is the spectral flow transformations the possibility to express the characters in terms of theta functions is determined by their behaviour under the spectral flow we also derive the identity expressing every  hat sl 2  character as a linear combination of spectral flow transformed n 2 characters this identity involves a finite number of n 2 characters in the case of unitary representations conversely we find an integral representation for the admissible n 2 characters as contour integrals of admissible  hat sl 2  characters , resolutions and characters of irreducible representations of the n 2 superconformal algebra ,"Representation Theory, Mathematical"
 energy of the vacuum with a perfectly conducting and infinite cylindrical surface values for the vacuum energy of scalar fields under dirichlet and neuman boundary conditions on an infinite clylindrical surface are found and they happen to be of opposite signs in contrast with classical works a complete zeta function regularization scheme is here applied these fields are regarded as interesting both by themselves and as the key to describing the electromagnetic e m  case with their help the figure for the e m casimir effect in the presence of this surface found by de raad and milton is now confirmed , energy of the vacuum with a perfectly conducting and infinite cylindrical surface,Mathematical Physics
 branes at angles and calibrated geometry  in a recent paper ohta and townsend studied the conditions which must be satisfied for a configuration of two intersecting m5 branes at angles to be supersymmetric in this paper we extend this result to any number of m5 branes or any number of m2 branes this is accomplished by interpreting their results in terms of calibrated geometry which is of independent interest , branes at angles and calibrated geometry ,"Mathematical Physics, Differential"
 on the ultraviolet behaviour of quantum fields over noncommutative manifolds by exploiting the relation between fredholm modules and the segal shale stinespring version of canonical quantization and taking as starting point the first quantized fields described by connes axioms for noncommutative spin geometries a hamiltonian framework for fermion quantum fields over noncommutative manifolds is introduced we analyze the ultraviolet behaviour of second quantized fields over noncommutative 3 tori and discuss what behaviour should be expected on other noncommutative spin manifolds , on the ultraviolet behaviour of quantum fields over noncommutative manifolds,Operator Algebras
 finite size and finite temperature effects in the conformally invariant o n vector model for 2 d 4 we study the operator product expansion ope of the auxiliary scalar field  lambda x with itself in the conformally invariant o n vector model for 2 d 4 to leading order in 1 n in a strip like geometry with one finite dimension of length l we show that consistency of the finite geometry ope with bulk ope calculations requires the physical conditions of either finite size scaling at criticality or finite temperature phase transition , finite size and finite temperature effects in the conformally invariant o n vector model for 2 d 4,Statistical Mechanics
 the inverse spectral theory for the ward equation and for the 2 1 chiral model e solve the cauchy problem of the ward model in light cone coordinates using the inverse spectral scattering method in particular we show that the solution can be constructed by solving a 2 times 2 local matrix riemann hilbert problem which is uniquely defined in terms of the initial data  these results are also directly applicable to the 2 1 chiral model, the inverse spectral theory for the ward equation and for the 2 1 chiral model,Exactly Solvable and Integrable
 on nahm s transformation with twisted boundary conditions following two different tracks we arrive at a definition of nahm s transformation valid for self dual fields on the 4 dimensional torus with non zero twist tensor the transform is again a self dual gauge field defined on a new torus and with non zero twist tensor it preserves the property of being an involution , on nahm s transformation with twisted boundary conditions,Mathematical Physics
 su 2 calorons and magnetic monopoles e investigate the self dual yang mills gauge configurations on r 3 times s 1 when the gauge symmetry su 2 is broken to u 1 by the wilson loop we construct the explicit field configuration for a single instanton by the nahm method and show that an instanton is composed of two self dual monopoles of opposite magnetic charge we normalize the moduli space metric of an instanton and study various limits of the field configuration and its moduli space metric, su 2 calorons and magnetic monopoles,Mathematical Physics
 calogero moser models a new formulation a new formulation of calogero moser models based on root systems and their weyl group is presented the general construction of the lax pairs applicable to all models based on the simply laced algebras ade are given for two types which we call root and minimal  the root type lax pair is new the matrices used in its construction bear a resemblance to the adjoint representation of the associated lie algebra and exist for all models but they do not contain elements associated with the zero weights corresponding to the cartan subalgebra the root type provides a simple method of constructing sufficiently many number of conserved quantities for all models including the one based on  e 8  whose integrability had been an unsolved problem for more than twenty years the minimal types provide a unified description of all known examples of calogero moser lax pairs and add some more in both cases the root type and the minimal type the formulation works for all of the four choices of potentials the rational trigonometric hyperbolic and elliptic , calogero moser models a new formulation,Exactly Solvable and Integrable
 instanton strings and hyperkaehler geometry we discuss two dimensional sigma models on moduli spaces of instantons on k3 surfaces these n 4 4 superconformal field theories describe the near horizon dynamics of the d1 d5 brane system and are dual to string theory on ads 3 we derive a precise map relating the moduli of the k3 type iib string compactification to the moduli of these conformal field theories and the corresponding classical hyperkaehler geometry we conclude that in the absense of background gauge fields the metric on the instanton moduli spaces degenerates exactly to the orbifold symmetric product of k3 turning on a self dual ns b field deforms this symmetric product to a manifold that is diffeomorphic to the hilbert scheme we also comment on the mathematical applications of string duality to the global issues of deformations of hyperkaehler manifolds , instanton strings and hyperkaehler geometry,Algebraic Geometry
 boundary flows in minimal models we discuss in this paper the behaviour of minimal models of conformal theory perturbed by the operator  phi 13  at the boundary using the rsos restriction of the sine gordon model adapted to the boundary problem a series of boundary flows between different set of conformally invariant boundary conditions are described generalizing the  staircase  phenomenon discovered by al zamolodchikov we find that an analytic continuation of the boundary sinh gordon model provides a flow interpolation not only between all minimal models in the bulk but also between their possible conformal boundary conditions in the particular case where the bulk sinh gordon coupling is turned to zero we obtain a boundary roaming trajectory in the c 1 theory that interpolates between all the possible spin s kondo models , boundary flows in minimal models,Exactly Solvable and Integrable
 miura like free field realization of fermionic casimir wb 3 algebras starting from the well known quantum miura like transformation for the non simply laced lie algebras b 3 we give an explicit construction of the casimir wb 3 algebras we reserve the notation wb n for the casimir w algebras of type w 2 4 6   2n n 1 2 which contains one fermionic field it is seen that wb 3  algebra is closed an associative for all values of the central element c , miura like free field realization of fermionic casimir wb 3 algebras,Mathematical Physics
 the determinant representation for quantum correlation functions of the sinh gordon model  we consider the quantum sinh gordon model in this paper using known formulae for form factors we sum up all their contributions and obtain a closed expression for a correlation function this expression is a determinant of an integral operator similar determinant representations were proven to be useful not only in the theory of correlation functions but also in the matrix models , the determinant representation for quantum correlation functions of the sinh gordon model ,"Mathematical Physics, Exactly"
 3 sasakian manifolds his is an expository paper describing the geometry of certain sasakian einstein manifolds such manifolds have recently become of interest due to maldacena s ads cft conjecture they describe near horizon geometries of branes at conical singularities, 3 sasakian manifolds,Differential Geometry
 taniguchi lecture on principal bundles on elliptic fibrations in this talk we discuss the description of the moduli space of principal g bundles on an elliptic fibration x  s in terms of cameral covers and their distinguished prym varieties we emphasize the close relationship between this problem and the integrability of hitchin s system and its generalizations the discussion roughly parallels that of d2  but additional examples are included and some important steps of the argument are illustrated some of the applications to heterotic f theory duality were described in the accompanying icmp talk hep th 9802093 , taniguchi lecture on principal bundles on elliptic fibrations,Algebraic Geometry
 calogero moser and toda systems for twisted and untwisted affine lie algebras the elliptic calogero moser hamiltonian and lax pair associated with a general simple lie algebra  g are shown to scale to the affine toda hamiltonian and lax pair the limit consists in taking the elliptic modulus  tau and the calogero moser couplings m to infinity while keeping fixed the combination m  m e i pi delta tau  for some exponent  delta  critical scaling limits arise when 1 delta equals the coxeter number or the dual coxeter number for the untwisted and twisted calogero moser systems respectively the limit consists then of the toda system for the affine lie algebras  g  1  and  g  1   vee  the limits of the untwisted or twisted calogero moser system for  delta less than these critical values  but non zero consists of the ordinary toda system while for  delta 0  it consists of the trigonometric calogero moser systems for the algebras  g and  g vee respectively , calogero moser and toda systems for twisted and untwisted affine lie algebras,Exactly Solvable and Integrable
 new integrable lattice models from fuss catalan algebras  we construct new trigonometric solutions of the yang baxter equation using the fuss catalan algebras a set of multi colored versions of the temperley lieb algebra recently introduced by bisch and jones these lead to new two dimensional integrable lattice models describing dense gases of colored loops , new integrable lattice models from fuss catalan algebras ,"Statistical Mechanics, Quantum"
 a spin chain primer this is a very elementary introduction to the heisenberg xxx quantum spin chain the yang baxter equation and the algebraic bethe ansatz , a spin chain primer,Exactly Solvable and Integrable
 free field resolutions of the unitary n 2 super virasoro representations  we construct free field resolutions of unitary representations of the n 2 superconformal algebra the irreducible representations are singled out from free field spaces as the cohomology of fermionic screening operators we construct and evaluate the cohomology of the resolution associated with one fermionic screening which is related to the representation theory picture of  gravitational descendants   and a  it butterfly resolution associated with two fermionic screenings , free field resolutions of the unitary n 2 super virasoro representations ,"Mathematical Physics, Representation"
 duality and quantum algebra symmetry of the a n 1  1 open spin chain with diagonal boundary fields we show that the transfer matrix of the a n 1  1 open spin chain with diagonal boundary fields has the symmetry u q su l  x u q su n l  x u 1  as well as a  duality  symmetry which interchanges l and n  l we exploit these symmetries to compute exact boundary s matrices in the regime with q real , duality and quantum algebra symmetry of the a n 1  1 open spin chain with diagonal boundary fields,Exactly Solvable and Integrable
 combinatorial dynamics in quantum gravity we describe the application of methods from the study of discrete dynanmical systems to the problem of the continuum limit of evolving spin networks these have been found to describe the small scale structure of quantum general relativity and extensions of them have been conjectured to give background independent formulations of string theory we explain why the the usual equilibrium critical phenomena may not be relevant for the problem of the continuum limit of such theories and why instead the continuum limits of such theories are likely to be governed by non equilibrium critical phenomena such as directed percolation the fact that such non equilibrium critical phenomena can be self organized implies the possibility that the classical limit of quantum theories of gravity may exist without fine tuning of parameters , combinatorial dynamics in quantum gravity,Statistical Mechanics
 some conjectures looking for a ncg theory t is pointed out that ambiguities in the regularization of actions with second derivatives seem to happen with the same multiplicity that the standard model of elementary particle, some conjectures looking for a ncg theory,Quantum Algebra
 derivative expansion of the effective action for qed in 2 1 and 3 1 dimensions the derivative expansion of the one loop effective action in qed 3 and qed 4 is considered the first term in such an expansion is the effective action for a constant electromagnetic field an explicit expression for the next term containing two derivatives of the field strength f  mu nu  but exact in the magnitude of the field strength is obtained the general results for fermion and scalar electrodynamics are presented the cases of pure electric and pure magnetic external fields are considered in details the feynman rules for the perturbative expansion of the one loop effective action in the number of derivatives is developed , derivative expansion of the effective action for qed in 2 1 and 3 1 dimensions,Mathematical Physics
 explicit solution of the quantum three body calogero sutherland model quantum integrable systems generalizing calogero sutherland systems were introduced by olshanetsky and perelomov 1977  recently it was proved that for systems with trigonometric potential the series in the product of two wave functions is a deformation of the clebsch gordan series this yields recursion relations for the wave functions of those systems in this note this approach is used to compute the explicit expressions for the three body calogero sutherland wave functions which are the jack polynomials we conjecture that similar results are also valid for the more general two parameters deformation introduced by macdonald , explicit solution of the quantum three body calogero sutherland model,Exactly Solvable and Integrable
 the higgs branch of impurity theories we consider supersymmetric gauge theories with impurities in various dimensions these systems arise in the study of intersecting branes unlike conventional gauge theories the higgs branch of an impurity theory can have compact directions for models with eight supercharges the higgs branch is a hyperkahler manifold given by the moduli space of solutions of certain differential equations these equations are the dimensional reductions of self duality equations with boundary conditions determined by the impurities  they can also be interpreted as nahm transforms of self duality equations on toroidally compactified spaces we discuss the application of our results to the light cone formulation of yang mills theories and to the solution of certain n 2 d 4 gauge theories , the higgs branch of impurity theories,Differential Geometry
 quantum kramers wannier duality and its topology we show for any oriented surface possibly with a boundary how to generalize kramers wannier duality to the world of quantum groups the generalization is motivated by quantization of poisson lie t duality from the string theory  cohomologies with quantum coefficients are defined for surfaces and their meaning is revealed they are functorial with respect to some glueing operations and connected with q invariants of 3 folds , quantum kramers wannier duality and its topology,Quantum Algebra
 on the phase diagram of the discrete z 6 spin models we point out some problems with the previously proposed phase diagram of the  z 6 spin models consideration of the diagram near to the decoupling surface using both exact and approximate arguments suggests a modification which remedies these deficiencies with the aid of a new parametrisation of the phase space we study the models numerically with results which support our conjectures , on the phase diagram of the discrete z 6 spin models,Statistical Mechanics
